format=0 tracks=1 division=480

BA    9   CR 3+437/480   TR  0   CH  1   ST &E0 &58 &09
BA    9   CR 3+467/480   TR  0   CH  1   ST &E0 &77 &02

BA   10   CR         0   TR  0   CH  1   NT  B            9/40
BA   10   CR         0   TR  0   CH  1   ST &E0 &00 &40
BA   10   CR         0   TR  0   CH  2   Instrument 40
BA   10   CR         0   TR  0   CH  2   NT  D           1+4/5
BA   10   CR         0   TR  0   CH  3   NT  D-           9/20
BA   10   CR         0   TR  0   CH 10   NT  C--          1/48
BA   10   CR         0   TR  0   CH 10   NT  F#--         1/48
BA   10   CR         0   TR  0   CH 10   NT  C#-          1/48
BA   10   CR         0   TR  0   CH 10   NT  D--          1/48
BA   10   CR       1/2   TR  0   CH  1   NT  D'           9/40
BA   10   CR       1/2   TR  0   CH  3   NT  A-           9/40
BA   10   CR       1/2   TR  0   CH 10   NT  C--          1/48
BA   10   CR         1   TR  0   CH  1   NT  F#'          9/40
BA   10   CR         1   TR  0   CH  3   NT  F#-          9/20
BA   10   CR         1   TR  0   CH 10   NT  F#--         1/48
BA   10   CR         1   TR  0   CH 10   NT  D--          1/48
BA   10   CR     1+1/4   TR  0   CH  1   NT  A'          27/40
BA   10   CR     1+1/4   TR  0   CH 10   NT  C--          1/48
BA   10   CR     1+1/2   TR  0   CH  3   NT  D-           9/40
BA   10   CR     1+3/4   TR  0   CH  3   NT  D-           7/10
BA   10   CR     1+3/4   TR  0   CH 10   NT  D--          1/48
BA   10   CR         2   TR  0   CH  1   NT  B'           9/10
BA   10   CR         2   TR  0   CH  2   NT  D'           9/40
BA   10   CR         2   TR  0   CH 10   NT  C--          1/48
BA   10   CR         2   TR  0   CH 10   NT  F#--         1/48
BA   10   CR     2+1/2   TR  0   CH  2   NT  E'           9/40
BA   10   CR     2+1/2   TR  0   CH  3   NT  F#-          9/20
BA   10   CR     2+1/2   TR  0   CH 10   NT  C--          1/48
BA   10   CR     2+1/2   TR  0   CH 10   NT  D--          1/48
BA   10   CR         3   TR  0   CH  2   NT  F#'          9/40
BA   10   CR         3   TR  0   CH  3   NT  A-           9/40
BA   10   CR         3   TR  0   CH 10   NT  F#--         1/48
BA   10   CR         3   TR  0   CH 10   NT  D--          1/48
BA   10   CR     3+1/4   TR  0   CH  1   NT  A'           9/40
BA   10   CR     3+1/4   TR  0   CH  2   NT  D'          27/40
BA   10   CR     3+1/4   TR  0   CH  3   NT  D-          27/40
BA   10   CR     3+1/2   TR  0   CH  1   NT  B'           9/40
BA   10   CR     3+1/2   TR  0   CH 10   NT  C--          1/48
BA   10   CR     3+3/4   TR  0   CH  1   NT  C#''         9/40

BA   11   CR         0   TR  0   CH  1   NT  D''          9/40
BA   11   CR         0   TR  0   CH  2   NT  E           1+4/5
