format=1 tracks=9 division=96

BA    4   CR   1+11/16   TR  6   CH  8   NT  G#--        35/96   voff=99
BA    4   CR     1+3/4   TR  1   CH  1   NT  Bb-         11/96   voff=99
BA    4   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=99
BA    4   CR     1+7/8   TR  1   CH  1   NT  G#-         11/96   voff=99
BA    4   CR         2   TR  1   CH  1   NT  G-        1+95/96   voff=99
BA    4   CR         2   TR  2   CH  2   NT  Bb-         11/96   voff=99
BA    4   CR         2   TR  5   CH  7   NT  G--         35/96   voff=99
BA    4   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    4   CR     2+1/8   TR  2   CH  2   NT  C           11/96   voff=99
BA    4   CR    2+3/16   TR  6   CH  8   NT  G--         35/96   voff=99
BA    4   CR     2+1/4   TR  2   CH  2   NT  Bb-         11/96   voff=99
BA    4   CR     2+3/8   TR  2   CH  2   NT  G#-         11/96   voff=99
BA    4   CR     2+1/2   TR  2   CH  2   NT  G-        1+95/96   voff=99
BA    4   CR     2+1/2   TR  5   CH  7   NT  G#--        35/96   voff=99
BA    4   CR     2+1/2   TR  7   CH 10   NT  D--         23/96   voff=99
BA    4   CR     2+1/2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    4   CR   2+11/16   TR  6   CH  8   NT  G#--        35/96   voff=99
BA    4   CR     2+3/4   TR  7   CH 10   NT  C--         23/96   voff=99
BA    4   CR         3   TR  5   CH  7   NT  G--         35/96   voff=99
BA    4   CR         3   TR  7   CH 10   NT  D--         23/96   voff=99
BA    4   CR         3   TR  7   CH 10   NT  B---        23/96   voff=99
BA    4   CR    3+3/16   TR  6   CH  8   NT  G--         35/96   voff=99
BA    4   CR     3+1/2   TR  5   CH  7   NT  F--         35/96   voff=99
BA    4   CR     3+1/2   TR  7   CH 10   NT  D--         23/96   voff=99
BA    4   CR     3+1/2   TR  7   CH 10   NT  B---        23/96   voff=99
BA    4   CR   3+11/16   TR  6   CH  8   NT  F--         35/96   voff=99
BA    4   CR     3+3/4   TR  7   CH 10   NT  D--         23/96   voff=99
BA    4   CR     3+3/4   TR  7   CH 10   NT  B---        23/96   voff=99

BA    5   CR         0   TR  1   CH  1   NT  G           95/96   voff=99
BA    5   CR         0   TR  5   CH  7   NT  G--         35/96   voff=99
BA    5   CR         0   TR  7   CH 10   NT  C--         23/96   voff=99
BA    5   CR      3/16   TR  6   CH  8   NT  G--         35/96   voff=99
BA    5   CR       1/2   TR  2   CH  2   NT  G           95/96   voff=99
BA    5   CR       1/2   TR  5   CH  7   NT  G#--        35/96   voff=99
BA    5   CR       1/2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    5   CR     11/16   TR  6   CH  8   NT  G#--        35/96   voff=99
BA    5   CR       3/4   TR  7   CH 10   NT  C--         23/96   voff=99
BA    5   CR         1   TR  1   CH  1   NT  F#          47/96   voff=99
BA    5   CR         1   TR  5   CH  7   NT  G--         35/96   voff=99
BA    5   CR         1   TR  7   CH 10   NT  B---        23/96   voff=99
BA    5   CR    1+3/16   TR  6   CH  8   NT  G--         35/96   voff=99
BA    5   CR     1+1/2   TR  1   CH  1   NT  Eb          11/96   voff=99
BA    5   CR     1+1/2   TR  2   CH  2   NT  F#          47/96   voff=99
BA    5   CR     1+1/2   TR  5   CH  7   NT  G#--        35/96   voff=99
BA    5   CR     1+1/2   TR  7   CH 10   NT  B---        23/96   voff=99
BA    5   CR     1+5/8   TR  1   CH  1   NT  F#          11/96   voff=99
BA    5   CR   1+11/16   TR  6   CH  8   NT  G#--        35/96   voff=99
BA    5   CR     1+3/4   TR  1   CH  1   NT  Eb          11/96   voff=99
BA    5   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=99
BA    5   CR         2   TR  1   CH  1   NT  D         1+47/96   voff=99
BA    5   CR         2   TR  2   CH  2   NT  Eb          11/96   voff=99
BA    5   CR         2   TR  5   CH  7   NT  G--         35/96   voff=99
BA    5   CR         2   TR  7   CH 10   NT  C--         23/96   voff=99
BA    5   CR     2+1/8   TR  2   CH  2   NT  F#          11/96   voff=99
BA    5   CR    2+3/16   TR  6   CH  8   NT  G--         35/96   voff=99
