format=1 tracks=11 division=480

BA    2   CR    1+1/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR    1+1/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR    1+1/12   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR    1+1/12   TR  2   CH  2   Channel volume 125
BA    2   CR    1+1/12   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR    1+1/12   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR    1+1/12   TR  4   CH  4   Channel volume 125
BA    2   CR    1+5/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     1+1/8   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     1+1/8   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     1+1/8   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     1+1/8   TR  4   CH  4   ST &B3 &0B &6B
BA    2   CR     1+1/8   TR  4   CH  4   ST &B3 &0A &62
BA    2   CR     1+1/8   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     1+1/8   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     1+1/8   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR    1+7/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR    1+7/48   TR  2   CH  2   Channel volume 125
BA    2   CR    1+7/48   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR    1+7/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR    1+7/48   TR  4   CH  4   Channel volume 125
BA    2   CR     1+1/6   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR    1+3/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR    1+3/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR    1+3/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR    1+3/16   TR  4   CH  4   ST &B3 &0B &6C
BA    2   CR    1+3/16   TR  4   CH  4   ST &B3 &0A &63
BA    2   CR    1+3/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR    1+3/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR    1+3/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR    1+5/24   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR    1+5/24   TR  2   CH  2   Channel volume 125
BA    2   CR    1+5/24   TR  2   CH  2   ST &B1 &0A &27
BA    2   CR    1+5/24   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR    1+5/24   TR  4   CH  4   Channel volume 125
BA    2   CR   1+11/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     1+1/4   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     1+1/4   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     1+1/4   TR  2   CH  2   NT  A'           9/40   von=80
BA    2   CR     1+1/4   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     1+1/4   TR  4   CH  4   NT  A'           9/40
BA    2   CR     1+1/4   TR  4   CH  4   ST &B3 &0B &6C
BA    2   CR     1+1/4   TR  4   CH  4   ST &B3 &0A &63
BA    2   CR     1+1/4   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     1+1/4   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     1+1/4   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR   1+13/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR   1+13/48   TR  2   CH  2   Channel volume 125
BA    2   CR   1+13/48   TR  2   CH  2   ST &B1 &0A &26
BA    2   CR   1+13/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR   1+13/48   TR  4   CH  4   Channel volume 125
BA    2   CR    1+7/24   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR    1+5/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR    1+5/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR    1+5/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR    1+5/16   TR  4   CH  4   ST &B3 &0B &6D
BA    2   CR    1+5/16   TR  4   CH  4   ST &B3 &0A &64
BA    2   CR    1+5/16   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR    1+5/16   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR    1+5/16   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR     1+1/3   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR     1+1/3   TR  2   CH  2   Channel volume 125
BA    2   CR     1+1/3   TR  2   CH  2   ST &B1 &0A &25
BA    2   CR     1+1/3   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR     1+1/3   TR  4   CH  4   Channel volume 125
BA    2   CR   1+17/48   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR     1+3/8   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR     1+3/8   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR     1+3/8   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR     1+3/8   TR  4   CH  4   ST &B3 &0B &6D
BA    2   CR     1+3/8   TR  4   CH  4   ST &B3 &0A &65
BA    2   CR     1+3/8   TR  4   CH  4   ST &B3 &5E &28
BA    2   CR     1+3/8   TR  5   CH  5   ST &B4 &5D &17
BA    2   CR     1+3/8   TR  6   CH  6   ST &B5 &5B &40
BA    2   CR   1+19/48   TR  2   CH  2   ST &B1 &5B &64
BA    2   CR   1+19/48   TR  2   CH  2   Channel volume 125
BA    2   CR   1+19/48   TR  2   CH  2   ST &B1 &0A &25
BA    2   CR   1+19/48   TR  4   CH  4   ST &B3 &5B &64
BA    2   CR   1+19/48   TR  4   CH  4   Channel volume 125
BA    2   CR    1+5/12   TR  6   CH  6   ST &B5 &0A &30
BA    2   CR    1+7/16   TR  1   CH  1   ST &B0 &5B &40
BA    2   CR    1+7/16   TR  1   CH  1   ST &B0 &0A &5A
BA    2   CR    1+7/16   TR  3   CH  3   ST &B2 &0A &1E
BA    2   CR    1+7/16   TR  4   CH  4   ST &B3 &0B &6E
BA    2   CR    1+7/16   TR  4   CH  4   ST &B3 &0A &65
