format=1 tracks=5 division=92

BA    7   CR     18/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR         1   TR  4   CH 10   NT  F#--        10/23
BA    7   CR    1+5/23   TR  1   CH  2   NT  C#-         20/23
BA    7   CR    1+5/23   TR  2   CH  3   NT  F-          20/23
BA    7   CR    1+5/23   TR  3   CH  4   NT  B---        20/23
BA    7   CR    1+5/23   TR  4   CH 10   NT  E--       1+17/23
BA    7   CR   1+10/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR   1+15/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR   1+20/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR    2+2/23   TR  1   CH  2   NT  Bb--        10/23
BA    7   CR    2+2/23   TR  2   CH  3   NT  Bb-         10/23
BA    7   CR    2+2/23   TR  3   CH  4   NT  Bb---        5/23
BA    7   CR    2+2/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR    2+7/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR   2+12/23   TR  1   CH  2   NT  Bb--        10/23
BA    7   CR   2+12/23   TR  2   CH  3   NT  Bb-         10/23
BA    7   CR   2+12/23   TR  3   CH  4   NT  Bb---        5/23
BA    7   CR   2+12/23   TR  4   CH 10   NT  F#--         5/23
BA    7   CR   2+17/23   TR  4   CH 10   NT  F#--       1+2/23
BA    7   CR   2+22/23   TR  1   CH  2   NT  C#-        1+7/23
BA    7   CR   2+22/23   TR  2   CH  3   NT  F-          20/23
BA    7   CR   2+22/23   TR  3   CH  4   NT  B---        20/23
BA    7   CR   2+22/23   TR  4   CH 10   NT  E--          5/23
BA    7   CR    3+4/23   TR  4   CH 10   NT  E--          5/23
BA    7   CR    3+9/23   TR  4   CH 10   NT  E--          5/23
BA    7   CR   3+14/23   TR  4   CH 10   NT  E--        1+2/23
BA    7   CR   3+19/23   TR  2   CH  3   NT  C-           5/23
BA    7   CR   3+19/23   TR  3   CH  4   NT  C           10/23
BA    7   CR   3+19/23   TR  4   CH 10   NT  F#--         5/23

BA    8   CR      1/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR      6/23   TR  1   CH  2   NT  C           10/23
BA    8   CR      6/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR      6/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR     11/23   TR  4   CH 10   NT  F#--        10/23
BA    8   CR     16/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR     16/23   TR  3   CH  4   NT  C           10/23
BA    8   CR     16/23   TR  4   CH 10   NT  E--       1+17/23
BA    8   CR     21/23   TR  2   CH  3   NT  C-           5/23
BA    8   CR     21/23   TR  4   CH 10   NT  F#--         5/23
