format=1 tracks=4 division=192

BA    3   CR      5/16   TR  2   CH  2   Channel volume 101
BA    3   CR     21/64   TR  2   CH  2   Channel volume 100
BA    3   CR    65/192   TR  2   CH  2   Channel volume 99
BA    3   CR    67/192   TR  2   CH  2   Channel volume 98
BA    3   CR     35/96   TR  2   CH  2   Channel volume 97
BA    3   CR       3/8   TR  2   CH  2   Channel volume 96
BA    3   CR     37/96   TR  2   CH  2   Channel volume 95
BA    3   CR    77/192   TR  2   CH  2   Channel volume 94
BA    3   CR    79/192   TR  2   CH  2   Channel volume 93
BA    3   CR     27/64   TR  2   CH  2   Channel volume 92
BA    3   CR      7/16   TR  2   CH  2   Channel volume 91
BA    3   CR     43/96   TR  2   CH  2   Channel volume 90
BA    3   CR     11/24   TR  2   CH  2   Channel volume 89
BA    3   CR    91/192   TR  2   CH  2   Channel volume 88
BA    3   CR     31/64   TR  2   CH  2   Channel volume 87
BA    3   CR       1/2   TR  1   CH  1   NT  D             1/6
BA    3   CR       1/2   TR  2   CH  2   Channel volume 86
BA    3   CR       1/2   TR  3   CH  3   NT  Eb            1/6
BA    3   CR     49/96   TR  2   CH  2   Channel volume 85
BA    3   CR   101/192   TR  2   CH  2   Channel volume 84
BA    3   CR     13/24   TR  2   CH  2   Channel volume 83
BA    3   CR     53/96   TR  2   CH  2   Channel volume 82
BA    3   CR   109/192   TR  2   CH  2   Channel volume 81
BA    3   CR      7/12   TR  2   CH  2   Channel volume 80
BA    3   CR     19/32   TR  2   CH  2   Channel volume 79
BA    3   CR     39/64   TR  2   CH  2   Channel volume 78
BA    3   CR       5/8   TR  2   CH  2   Channel volume 77
BA    3   CR     61/96   TR  2   CH  2   Channel volume 76
BA    3   CR   125/192   TR  2   CH  2   Channel volume 75
BA    3   CR       2/3   TR  2   CH  2   Channel volume 74
BA    3   CR     65/96   TR  2   CH  2   Channel volume 73
BA    3   CR   133/192   TR  2   CH  2   Channel volume 72
BA    3   CR     17/24   TR  2   CH  2   Channel volume 71
BA    3   CR     23/32   TR  2   CH  2   Channel volume 70
BA    3   CR     47/64   TR  2   CH  2   Channel volume 69
BA    3   CR       3/4   TR  2   CH  2   Channel volume 68
BA    3   CR     73/96   TR  2   CH  2   Channel volume 67
BA    3   CR   149/192   TR  2   CH  2   Channel volume 66
BA    3   CR     19/24   TR  2   CH  2   Channel volume 65
BA    3   CR     77/96   TR  2   CH  2   Channel volume 64
BA    3   CR   157/192   TR  2   CH  2   Channel volume 63
BA    3   CR       5/6   TR  2   CH  2   Channel volume 62
BA    3   CR     27/32   TR  2   CH  2   Channel volume 61
BA    3   CR     55/64   TR  2   CH  2   Channel volume 60
BA    3   CR       7/8   TR  2   CH  2   Channel volume 59
BA    3   CR     85/96   TR  2   CH  2   Channel volume 58
BA    3   CR   173/192   TR  2   CH  2   Channel volume 57
BA    3   CR     11/12   TR  2   CH  2   Channel volume 56
BA    3   CR     89/96   TR  2   CH  2   Channel volume 55
BA    3   CR   181/192   TR  2   CH  2   Channel volume 54
BA    3   CR     23/24   TR  2   CH  2   Channel volume 53
BA    3   CR     31/32   TR  2   CH  2   Channel volume 52
BA    3   CR     63/64   TR  2   CH  2   Channel volume 51
BA    3   CR         1   TR  2   CH  2   Channel volume 50
BA    3   CR         1   TR  3   CH  3   NT  Eb-           1/6
BA    3   CR    1+1/64   TR  2   CH  2   Channel volume 49
BA    3   CR   1+7/192   TR  2   CH  2   Channel volume 48
BA    3   CR  1+11/192   TR  2   CH  2   Channel volume 47
BA    3   CR    1+7/96   TR  2   CH  2   Channel volume 46
BA    3   CR    1+3/32   TR  2   CH  2   Channel volume 45
BA    3   CR   1+11/96   TR  2   CH  2   Channel volume 44
BA    3   CR  1+25/192   TR  2   CH  2   Channel volume 43
BA    3   CR  1+29/192   TR  2   CH  2   Channel volume 42
BA    3   CR   1+11/64   TR  2   CH  2   Channel volume 41
BA    3   CR    1+3/16   TR  2   CH  2   Channel volume 40
BA    3   CR    1+5/24   TR  2   CH  2   Channel volume 39
BA    3   CR   1+11/48   TR  2   CH  2   Channel volume 38
BA    3   CR     1+1/4   TR  2   CH  2   Channel volume 37
BA    3   CR   1+17/64   TR  2   CH  2   Channel volume 36
BA    3   CR  1+55/192   TR  2   CH  2   Channel volume 35
BA    3   CR  1+59/192   TR  2   CH  2   Channel volume 34
BA    3   CR   1+31/96   TR  2   CH  2   Channel volume 33
BA    3   CR   1+11/32   TR  2   CH  2   Channel volume 32
BA    3   CR   1+35/96   TR  2   CH  2   Channel volume 31
BA    3   CR  1+73/192   TR  2   CH  2   Channel volume 30
BA    3   CR  1+77/192   TR  2   CH  2   Channel volume 29
BA    3   CR   1+27/64   TR  2   CH  2   Channel volume 28
BA    3   CR    1+7/16   TR  2   CH  2   Channel volume 27
BA    3   CR   1+11/24   TR  2   CH  2   Channel volume 26
BA    3   CR   1+23/48   TR  2   CH  2   Channel volume 25
BA    3   CR     1+1/2   TR  1   CH  1   NT  D             1/6
BA    3   CR     1+1/2   TR  2   CH  2   Channel volume 24
BA    3   CR     1+1/2   TR  2   CH  2   Channel volume 127
BA    3   CR     1+1/2   TR  2   CH  2   NT  E'          23/96
BA    3   CR     1+1/2   TR  3   CH  3   NT  Eb            1/6
BA    3   CR     1+3/4   TR  2   CH  2   NT  Eb'         23/96
BA    3   CR         2   TR  2   CH  2   Channel volume 127
