format=1 tracks=12 division=96

BA    1   CR    2+1/96   TR 10   CH 10   NT  G#--        15/32   voff=126
BA    1   CR   2+47/96   TR  6   CH  6   NT  Eb-         23/96   voff=126
BA    1   CR   2+47/96   TR  7   CH  7   NT  Eb--        23/96   voff=126
BA    1   CR     2+1/2   TR 10   CH 10   NT  C--         23/96   voff=126
BA    1   CR   2+49/96   TR 10   CH 10   NT  Bb--        47/96   voff=126
BA    1   CR     2+3/4   TR  6   CH  6   NT  Eb-         11/48   voff=126
BA    1   CR     2+3/4   TR  7   CH  7   NT  Eb--        11/48   voff=126
BA    1   CR   2+73/96   TR 10   CH 10   NT  C--         11/48   voff=126
BA    1   CR         3   TR  6   CH  6   NT  Eb-         23/48   voff=126
BA    1   CR         3   TR  7   CH  7   NT  Eb--        23/48   voff=126
BA    1   CR    3+1/96   TR 10   CH 10   NT  G#--        23/48   voff=126
BA    1   CR    3+1/48   TR  1   CH  1   NT  Bb          31/32   von=126   voff=126
BA    1   CR    3+1/48   TR 10   CH 10   NT  D--         23/48   voff=126
BA    1   CR   3+25/96   TR  4   CH  4   NT  Bb          95/96   von=126   voff=126
BA    1   CR     3+1/2   TR  6   CH  6   NT  Eb-         11/48   voff=126
BA    1   CR     3+1/2   TR  7   CH  7   NT  Eb--        11/48   voff=126
BA    1   CR   3+49/96   TR 10   CH 10   NT  C--         11/48   voff=126
BA    1   CR   3+25/48   TR  3   CH  3   NT  Bb          31/32   von=126   voff=126
BA    1   CR   3+25/48   TR  5   CH  5   NT  Bb          47/48   von=126   voff=126
BA    1   CR   3+25/48   TR 10   CH 10   NT  Bb--        11/48   voff=126
BA    1   CR     3+3/4   TR  6   CH  6   NT  Eb-          7/32   voff=126
BA    1   CR     3+3/4   TR  7   CH  7   NT  Eb--         7/32   voff=126
BA    1   CR   3+73/96   TR 10   CH 10   NT  C--          7/32   voff=126
BA    1   CR   3+73/96   TR 10   CH 10   NT  G#--         7/32   voff=126
BA    1   CR   3+95/96   TR  6   CH  6   NT  Eb-         47/96   voff=126
BA    1   CR   3+95/96   TR  7   CH  7   NT  Eb--        47/96   voff=126

BA    2   CR         0   TR 10   CH 10   NT  G#--        47/96   voff=126
BA    2   CR         0   TR 10   CH 10   NT  C--         47/96   voff=126
BA    2   CR      1/96   TR  1   CH  1   NT  G#          47/96   voff=126
BA    2   CR     13/48   TR  4   CH  4   NT  G#          15/32   voff=126
BA    2   CR       1/2   TR  6   CH  6   NT  Eb-          7/32   voff=126
BA    2   CR       1/2   TR  7   CH  7   NT  Eb--         7/32   voff=126
BA    2   CR     49/96   TR  3   CH  3   NT  G#          47/96   voff=126
BA    2   CR     49/96   TR 10   CH 10   NT  C--          7/32   voff=126
BA    2   CR     25/48   TR  1   CH  1   NT  F#          31/32   voff=126
BA    2   CR     25/48   TR  5   CH  5   NT  G#          23/48   voff=126
BA    2   CR     25/48   TR 10   CH 10   NT  Bb--        23/48   voff=126
BA    2   CR     71/96   TR  6   CH  6   NT  Eb-         23/96   voff=126
BA    2   CR     71/96   TR  7   CH  7   NT  Eb--        23/96   voff=126
BA    2   CR       3/4   TR 10   CH 10   NT  C--         23/96   voff=126
BA    2   CR     73/96   TR  4   CH  4   NT  F#          95/96   voff=126
BA    2   CR         1   TR  6   CH  6   NT  Eb-         15/32   voff=126
BA    2   CR         1   TR  7   CH  7   NT  Eb--        15/32   voff=126
BA    2   CR    1+1/96   TR 10   CH 10   NT  G#--        15/32   voff=126
BA    2   CR    1+1/48   TR  3   CH  3   NT  F#          31/32   voff=126
BA    2   CR    1+1/48   TR  5   CH  5   NT  F#          47/48   voff=126
BA    2   CR    1+1/48   TR 10   CH 10   NT  D--         11/48   voff=126
BA    2   CR   1+25/96   TR 10   CH 10   NT  C--          7/32   voff=126
BA    2   CR   1+47/96   TR  6   CH  6   NT  Eb-         23/96   voff=126
BA    2   CR   1+47/96   TR  7   CH  7   NT  Eb--        23/96   voff=126
BA    2   CR     1+1/2   TR 10   CH 10   NT  C--         23/96   voff=126
BA    2   CR   1+49/96   TR  1   CH  1   NT  F         1+95/96   voff=126
BA    2   CR   1+49/96   TR 10   CH 10   NT  Bb--        23/96   voff=126
BA    2   CR     1+3/4   TR  6   CH  6   NT  Eb-         11/48   voff=126
BA    2   CR     1+3/4   TR  7   CH  7   NT  Eb--        11/48   voff=126
BA    2   CR   1+73/96   TR 10   CH 10   NT  G#--        11/48   voff=126
BA    2   CR   1+73/96   TR 10   CH 10   NT  C--         11/48   voff=126
BA    2   CR   1+37/48   TR  4   CH  4   NT  F         1+31/32   voff=126
BA    2   CR         2   TR  6   CH  6   NT  Eb-         23/48   voff=126
BA    2   CR         2   TR  7   CH  7   NT  Eb--        23/48   voff=126
BA    2   CR    2+1/96   TR  3   CH  3   NT  F         1+95/96   voff=126
BA    2   CR    2+1/96   TR 10   CH 10   NT  C--         23/48   voff=126
BA    2   CR    2+1/96   TR 10   CH 10   NT  G#--        23/48   voff=126
BA    2   CR    2+1/48   TR  5   CH  5   NT  F         1+47/48   voff=126
BA    2   CR     2+1/2   TR  6   CH  6   NT  Eb-         11/48   voff=126
BA    2   CR     2+1/2   TR  7   CH  7   NT  Eb--        11/48   voff=126
BA    2   CR   2+49/96   TR 10   CH 10   NT  C--         11/48   voff=126
BA    2   CR   2+25/48   TR 10   CH 10   NT  Bb--        15/32   voff=126
BA    2   CR     2+3/4   TR  6   CH  6   NT  Eb-          7/32   voff=126
BA    2   CR     2+3/4   TR  7   CH  7   NT  Eb--         7/32   voff=126
BA    2   CR   2+73/96   TR 10   CH 10   NT  C--          7/32   voff=126
BA    2   CR   2+95/96   TR  6   CH  6   NT  Eb-         47/96   voff=126
BA    2   CR   2+95/96   TR  7   CH  7   NT  Eb--        47/96   voff=126
BA    2   CR         3   TR 10   CH 10   NT  G#--        47/96   voff=126
BA    2   CR    3+1/96   TR 10   CH 10   NT  D--         47/96   voff=126
BA    2   CR     3+1/2   TR  6   CH  6   NT  Eb-          7/32   voff=126
BA    2   CR     3+1/2   TR  7   CH  7   NT  Eb--         7/32   voff=126
BA    2   CR   3+49/96   TR 10   CH 10   NT  C--          7/32   voff=126
BA    2   CR   3+25/48   TR  1   CH  1   NT  F           31/32   voff=126
BA    2   CR   3+25/48   TR 10   CH 10   NT  Bb--         7/32   voff=126
BA    2   CR   3+71/96   TR  6   CH  6   NT  Eb-         23/96   voff=126
BA    2   CR   3+71/96   TR  7   CH  7   NT  Eb--        23/96   voff=126
BA    2   CR     3+3/4   TR 10   CH 10   NT  C--         23/96   voff=126
