format=1 tracks=4 division=1024

BA   15   CR 1+263/512   TR  1   CH  1   Channel volume 105
BA   15   CR 1+535/1024   TR  2   CH  2   NT  A        479/1024   von=64   voff=0
BA   15   CR 1+675/1024   TR  1   CH  1   Channel volume 106
BA   15   CR 1+805/1024   TR  1   CH  1   Channel volume 105
BA   15   CR 2+21/1024   TR  2   CH  2   NT  A        479/1024   von=67   voff=0
BA   15   CR 2+21/1024   TR  3   CH  3   NT  C#        507/512   von=67   voff=0
BA   15   CR 2+41/1024   TR  1   CH  1   Channel volume 104
BA   15   CR 2+171/1024   TR  1   CH  1   Channel volume 103
BA   15   CR 2+301/1024   TR  1   CH  1   Channel volume 102
BA   15   CR 2+431/1024   TR  1   CH  1   Channel volume 101
BA   15   CR 2+531/1024   TR  2   CH  2   NT  B         237/512   von=64   voff=0
BA   15   CR 2+561/1024   TR  1   CH  1   Channel volume 100
BA   15   CR 2+691/1024   TR  1   CH  1   Channel volume 99
BA   15   CR 2+821/1024   TR  1   CH  1   Channel volume 97
BA   15   CR 2+951/1024   TR  1   CH  1   Channel volume 96
BA   15   CR   3+3/256   TR  2   CH  2   NT  A         237/512   von=65   voff=0
BA   15   CR   3+3/256   TR  3   CH  3   NT  D         237/512   von=65   voff=0
BA   15   CR 3+57/1024   TR  1   CH  1   Channel volume 95
BA   15   CR 3+187/1024   TR  1   CH  1   Channel volume 93
BA   15   CR 3+317/1024   TR  1   CH  1   Channel volume 92
BA   15   CR 3+447/1024   TR  1   CH  1   Channel volume 91
BA   15   CR 3+517/1024   TR  2   CH  2   NT  B         119/256   von=64   voff=0
BA   15   CR 3+517/1024   TR  3   CH  3   NT  C#        119/256   von=64   voff=0
BA   15   CR 3+577/1024   TR  1   CH  1   Channel volume 90
BA   15   CR 3+707/1024   TR  1   CH  1   Channel volume 89

BA   16   CR     1/256   TR  1   CH  1   NT  G#      3+935/1024   voff=0
BA   16   CR     1/256   TR  2   CH  2   NT  C#'      511/1024   von=69   voff=0
BA   16   CR     1/256   TR  3   CH  3   NT  B-      1+25/1024   von=69   voff=0
BA   16   CR     15/64   TR  1   CH  1   Channel volume 90
BA   16   CR  377/1024   TR  1   CH  1   Channel volume 92
BA   16   CR   257/512   TR  1   CH  1   Channel volume 94
BA   16   CR   273/512   TR  2   CH  2   NT  G#       477/1024   von=64   voff=0
BA   16   CR  651/1024   TR  1   CH  1   Channel volume 96
BA   16   CR   197/256   TR  1   CH  1   Channel volume 99
BA   16   CR  925/1024   TR  1   CH  1   Channel volume 100
BA   16   CR  1+15/512   TR  2   CH  2   NT  F#        237/512   von=65   voff=0
BA   16   CR  1+15/512   TR  3   CH  3   NT  E-        507/512   von=64   voff=0
BA   16   CR  1+19/512   TR  1   CH  1   Channel volume 102
BA   16   CR 1+175/1024   TR  1   CH  1   Channel volume 104
BA   16   CR  1+39/128   TR  1   CH  1   Channel volume 106
BA   16   CR 1+449/1024   TR  1   CH  1   Channel volume 107
BA   16   CR 1+535/1024   TR  2   CH  2   NT  E        479/1024   von=64   voff=0
BA   16   CR 1+149/256   TR  1   CH  1   Channel volume 108
BA   16   CR 1+365/512   TR  1   CH  1   Channel volume 107
BA   16   CR 1+499/512   TR  1   CH  1   Channel volume 106
BA   16   CR 2+21/1024   TR  2   CH  2   NT  E        479/1024   von=67   voff=0
BA   16   CR 2+21/1024   TR  3   CH  3   NT  B-        507/512   von=67   voff=0
BA   16   CR  2+27/256   TR  1   CH  1   Channel volume 105
BA   16   CR 2+121/512   TR  1   CH  1   Channel volume 104
BA   16   CR  2+47/128   TR  1   CH  1   Channel volume 102
BA   16   CR 2+255/512   TR  1   CH  1   Channel volume 101
BA   16   CR 2+531/1024   TR  2   CH  2   NT  F#        237/512   von=64   voff=0
BA   16   CR 2+161/256   TR  1   CH  1   Channel volume 100
BA   16   CR 2+389/512   TR  1   CH  1   Channel volume 99
BA   16   CR   2+57/64   TR  1   CH  1   Channel volume 97
BA   16   CR   3+3/256   TR  2   CH  2   NT  G#        237/512   von=65   voff=0
BA   16   CR   3+3/256   TR  3   CH  3   NT  D         237/512   von=65   voff=0
BA   16   CR  3+11/512   TR  1   CH  1   Channel volume 95
BA   16   CR  3+39/256   TR  1   CH  1   Channel volume 94
BA   16   CR 3+145/512   TR  1   CH  1   Channel volume 92
BA   16   CR  3+53/128   TR  1   CH  1   Channel volume 91
BA   16   CR 3+517/1024   TR  2   CH  2   NT  B         119/256   von=64   voff=0
BA   16   CR 3+517/1024   TR  3   CH  3   NT  B-        119/256   von=64   voff=0
