format=1 tracks=7 division=240

BA   12   CR    1+7/16   TR  4   CH  4   NT  B--          7/48
BA   12   CR    1+7/15   TR  3   CH  3   NT  A             1/2
BA   12   CR   1+27/40   TR  4   CH  4   NT  B--          7/48
BA   12   CR   1+11/12   TR  4   CH  4   NT  B--        97/240
BA   12   CR   1+37/40   TR  3   CH  3   NT  D'           8/15
BA   12   CR   1+15/16   TR  5   CH  5   NT  D''         23/24
BA   12   CR   2+17/40   TR  4   CH  4   NT  B--           1/8
BA   12   CR    2+7/15   TR  3   CH  3   NT  A            8/15
BA   12   CR     2+2/3   TR  4   CH  4   NT  B--         13/60
BA   12   CR   2+11/12   TR  5   CH  5   NT  C#''      1+7/240
BA   12   CR 2+227/240   TR  4   CH  4   NT  B-           9/20
BA   12   CR         3   TR  3   CH  3   NT  E'          39/80
BA   12   CR    3+7/16   TR  4   CH  4   NT  B--          2/15
BA   12   CR     3+1/2   TR  3   CH  3   NT  A         127/240
BA   12   CR   3+27/40   TR  4   CH  4   NT  B--         21/80
BA   12   CR   3+47/48   TR  5   CH  5   NT  G'        2+79/80

BA   13   CR         0   TR  4   CH  4   NT  G--         17/48
BA   13   CR      1/48   TR  3   CH  3   NT  B         2+13/48
BA   13   CR       1/2   TR  4   CH  4   NT  G--          9/80
BA   13   CR     35/48   TR  4   CH  4   NT  G--         13/60
BA   13   CR    1+1/48   TR  4   CH  4   NT  G-          11/24
BA   13   CR   1+23/48   TR  4   CH  4   NT  G--           1/8
BA   13   CR   1+11/16   TR  4   CH  4   NT  G--          7/40
BA   13   CR 1+227/240   TR  4   CH  4   NT  G--          9/20
BA   13   CR  2+61/120   TR  3   CH  3   NT  B             1/2
BA   13   CR  2+61/120   TR  4   CH  4   NT  G--           1/8
BA   13   CR   2+59/80   TR  4   CH  4   NT  G--          5/24
BA   13   CR   2+79/80   TR  4   CH  4   NT  G-            1/2
BA   13   CR   3+1/120   TR  3   CH  3   NT  C#'          8/15
BA   13   CR   3+39/80   TR  4   CH  4   NT  G--           1/8
BA   13   CR 3+127/240   TR  3   CH  3   NT  D'          41/80
BA   13   CR   3+35/48   TR  4   CH  4   NT  G--        67/240

BA   14   CR     1/120   TR  4   CH  4   NT  A--         11/30
BA   14   CR      1/20   TR  3   CH  3   NT  E'         1+9/20
BA   14   CR       1/2   TR  4   CH  4   NT  A--           1/6
BA   14   CR     59/80   TR  4   CH  4   NT  A--        53/240
BA   14   CR     47/48   TR  4   CH  4   NT  A-            1/2
BA   14   CR   1+23/48   TR  3   CH  3   NT  D'        1+39/80
