format=1 tracks=33 division=480

BA    4   CR     2+1/2   TR  5   CH  5   NT  G             1/5
BA    4   CR     2+3/4   TR  1   CH  1   NT  B            9/40
BA    4   CR     2+3/4   TR  5   CH  5   NT  A             1/5
BA    4   CR         3   TR  1   CH  1   NT  A            9/40
BA    4   CR         3   TR  2   CH  2   NT  D#'          9/20
BA    4   CR         3   TR  3   CH  3   NT  B--          9/10
BA    4   CR         3   TR  5   CH  5   NT  B             1/5
BA    4   CR         3   TR  6   CH 10   NT  E--           1/5   von=100
BA    4   CR     3+1/4   TR  1   CH  1   NT  G            9/40
BA    4   CR     3+1/4   TR  5   CH  5   NT  A             1/5
BA    4   CR     3+1/4   TR  6   CH 10   NT  E--           1/5
BA    4   CR     3+1/2   TR  1   CH  1   NT  F#           9/40
BA    4   CR     3+1/2   TR  2   CH  2   NT  B            9/20
BA    4   CR     3+1/2   TR  5   CH  5   NT  F#            1/5
BA    4   CR     3+1/2   TR  6   CH 10   NT  E--          1/10
BA    4   CR     3+5/8   TR  6   CH 10   NT  E--          1/10
BA    4   CR     3+3/4   TR  1   CH  1   NT  D#           9/40
BA    4   CR     3+3/4   TR  5   CH  5   NT  D#            1/5
BA    4   CR     3+3/4   TR  6   CH 10   NT  E--          1/10
BA    4   CR     3+7/8   TR  6   CH 10   NT  E--          1/10

BA    5   CR         0   TR  0   CH 16   Tempo 153.0005
BA    5   CR         0   TR  1   CH  1   NT  G-           9/40
BA    5   CR         0   TR  2   CH  2   NT  E'         1+7/20
BA    5   CR         0   TR  3   CH  3   NT  C-           9/20
BA    5   CR         0   TR  4   CH  4   Channel volume 80
BA    5   CR         0   TR  4   CH  4   NT  C           1+1/5
BA    5   CR         0   TR  4   CH  4   NT  C'          1+1/5
BA    5   CR         0   TR  6   CH 10   NT  E--           2/5
BA    5   CR         0   TR  9   CH  9   NT  E'         1+7/20   von=100
BA    5   CR       1/4   TR  1   CH  1   NT  A-           9/40
BA    5   CR       1/2   TR  1   CH  1   NT  G-           9/40
BA    5   CR       1/2   TR  6   CH 10   NT  E--           1/5
BA    5   CR       3/4   TR  1   CH  1   NT  F#-          9/40
BA    5   CR       3/4   TR  6   CH 10   NT  E--           1/5
BA    5   CR         1   TR  1   CH  1   NT  G-           9/40
BA    5   CR         1   TR  6   CH 10   NT  E--          1/10
BA    5   CR         1   TR  8   CH  8   NT  E''        1+7/20   von=100
BA    5   CR     1+1/8   TR  6   CH 10   NT  E--          1/10
BA    5   CR     1+1/4   TR  6   CH 10   NT  E--          1/10
BA    5   CR     1+3/8   TR  6   CH 10   NT  E--          1/10
BA    5   CR     1+1/2   TR  1   CH  1   NT  G-           9/40
BA    5   CR     1+1/2   TR  2   CH  2   NT  B          1+7/20
BA    5   CR     1+1/2   TR  3   CH  3   NT  C-           9/20
BA    5   CR     1+1/2   TR  4   CH  4   NT  G             4/5
BA    5   CR     1+1/2   TR  4   CH  4   NT  G-            4/5
BA    5   CR     1+1/2   TR  6   CH 10   NT  E--           2/5
BA    5   CR     1+1/2   TR  9   CH  9   NT  B          1+7/20
BA    5   CR     1+3/4   TR  1   CH  1   NT  A-           9/40
BA    5   CR         2   TR  1   CH  1   NT  G-           9/40
BA    5   CR         2   TR  6   CH 10   NT  E--           2/5
BA    5   CR     2+1/4   TR  1   CH  1   NT  F#-          9/40
BA    5   CR     2+1/2   TR  1   CH  1   NT  G-           9/40
BA    5   CR     2+1/2   TR  2   CH  2   NT  E'           9/20
BA    5   CR     2+1/2   TR  4   CH  4   NT  C'            2/5
BA    5   CR     2+1/2   TR  4   CH  4   NT  C             2/5
BA    5   CR     2+1/2   TR  6   CH 10   NT  E--           1/5
BA    5   CR     2+1/2   TR  8   CH  8   NT  B'         1+7/20
BA    5   CR     2+1/2   TR  9   CH  9   NT  E'           9/20
BA    5   CR     2+3/4   TR  6   CH 10   NT  E--           1/5
BA    5   CR         3   TR  1   CH  1   NT  G-           9/40
BA    5   CR         3   TR  2   CH  2   NT  F#'          9/20
BA    5   CR         3   TR  3   CH  3   NT  C-           9/20
BA    5   CR         3   TR  4   CH  4   NT  D'            2/5
BA    5   CR         3   TR  4   CH  4   NT  D             2/5
BA    5   CR         3   TR  6   CH 10   NT  E--          1/10
BA    5   CR         3   TR  9   CH  9   NT  F#'          9/20
BA    5   CR     3+1/8   TR  6   CH 10   NT  E--          1/10
BA    5   CR     3+1/4   TR  1   CH  1   NT  A-           9/40
BA    5   CR     3+1/4   TR  6   CH 10   NT  E--          1/10
BA    5   CR     3+3/8   TR  6   CH 10   NT  E--          1/10
BA    5   CR     3+1/2   TR  1   CH  1   NT  G-           9/40
BA    5   CR     3+1/2   TR  2   CH  2   NT  G'           9/20
BA    5   CR     3+1/2   TR  4   CH  4   NT  E'            2/5
BA    5   CR     3+1/2   TR  4   CH  4   NT  E             2/5
BA    5   CR     3+1/2   TR  6   CH 10   NT  E--           2/5
BA    5   CR     3+1/2   TR  8   CH  8   NT  E''          9/20
BA    5   CR     3+1/2   TR  9   CH  9   NT  G'           9/20
BA    5   CR     3+3/4   TR  1   CH  1   NT  F#-          9/40

BA    6   CR         0   TR  1   CH  1   NT  G-           9/40
BA    6   CR         0   TR  2   CH  2   NT  A'           9/20
BA    6   CR         0   TR  3   CH  3   NT  C-           9/20
BA    6   CR         0   TR  4   CH  4   NT  F#'           4/5
BA    6   CR         0   TR  4   CH  4   NT  F#            4/5
BA    6   CR         0   TR  6   CH 10   NT  E--           2/5
