format=1 tracks=11 division=120

BA    1   CR         0   TR  0   CH 16   Text type 3: "Mega Man 9 - Special Stage (XG) - Sequenced by Teck"
BA    2   CR     17/30   TR  9   CH 11   ST &BA &0A &18
BA    2   CR       3/5   TR  9   CH 11   ST &BA &0A &19
BA    2   CR     37/60   TR  9   CH 11   ST &BA &0A &1A
BA    2   CR     19/30   TR  9   CH 11   ST &BA &0A &1B
BA    2   CR       2/3   TR  9   CH 11   ST &BA &0A &1C
BA    2   CR     41/60   TR  9   CH 11   ST &BA &0A &1D
BA    2   CR     17/24   TR  9   CH 11   ST &BA &0A &1E
BA    2   CR     11/15   TR  9   CH 11   ST &BA &0A &1F
BA    2   CR       3/4   TR  2   CH  2   NT  C#--         5/24
BA    2   CR       3/4   TR  8   CH 10   NT  G---          1/8   von=108
BA    2   CR       3/4   TR  8   CH 10   NT  D--           1/8   von=60
BA    2   CR       3/4   TR  8   CH 10   NT  F#--          1/8   von=108
BA    2   CR       3/4   TR  9   CH 11   NT  F'            1/4
BA    2   CR    91/120   TR  9   CH 11   ST &BA &0A &20
BA    2   CR     31/40   TR  9   CH 11   ST &BA &0A &21
BA    2   CR    97/120   TR  9   CH 11   ST &BA &0A &22
BA    2   CR     33/40   TR  9   CH 11   ST &BA &0A &23
BA    2   CR   103/120   TR  9   CH 11   ST &BA &0A &24
BA    2   CR       7/8   TR  9   CH 11   ST &BA &0A &25
BA    2   CR      9/10   TR  9   CH 11   ST &BA &0A &26
BA    2   CR     37/40   TR  9   CH 11   ST &BA &0A &27
BA    2   CR     19/20   TR  9   CH 11   ST &BA &0A &28
BA    2   CR     29/30   TR  9   CH 11   ST &BA &0A &29
BA    2   CR         1   TR  2   CH  2   NT  G#--         5/24
BA    2   CR         1   TR  8   CH 10   NT  G---          1/8   von=111
BA    2   CR         1   TR  8   CH 10   NT  D--           1/8   von=61
BA    2   CR         1   TR  9   CH 11   ST &BA &0A &2A
BA    2   CR         1   TR  9   CH 11   NT  F             1/4
BA    2   CR    1+1/60   TR  9   CH 11   ST &BA &0A &2B
BA    2   CR    1+1/30   TR  9   CH 11   ST &BA &0A &2C
BA    2   CR    1+1/15   TR  9   CH 11   ST &BA &0A &2D
BA    2   CR    1+1/12   TR  9   CH 11   ST &BA &0A &2E
BA    2   CR    1+7/60   TR  9   CH 11   ST &BA &0A &2F
BA    2   CR    1+2/15   TR  9   CH 11   ST &BA &0A &30
BA    2   CR  1+19/120   TR  9   CH 11   ST &BA &0A &31
BA    2   CR   1+11/60   TR  9   CH 11   ST &BA &0A &32
BA    2   CR    1+5/24   TR  9   CH 11   ST &BA &0A &33
BA    2   CR    1+9/40   TR  9   CH 11   ST &BA &0A &34
BA    2   CR     1+1/4   TR  2   CH  2   NT  C#-          5/24
BA    2   CR     1+1/4   TR  8   CH 10   NT  C--           1/8   von=84
BA    2   CR     1+1/4   TR  8   CH 10   NT  F#--          1/8   von=115
BA    2   CR     1+1/4   TR  8   CH 10   NT  B---          1/8   von=84
BA    2   CR     1+1/4   TR  9   CH 11   NT  F-            1/4
BA    2   CR  1+31/120   TR  9   CH 11   ST &BA &0A &35
BA    2   CR   1+11/40   TR  9   CH 11   ST &BA &0A &36
BA    2   CR    1+3/10   TR  9   CH 11   ST &BA &0A &37
BA    2   CR   1+13/40   TR  9   CH 11   ST &BA &0A &38
BA    2   CR    1+7/20   TR  9   CH 11   ST &BA &0A &39
BA    2   CR     1+3/8   TR  9   CH 11   ST &BA &0A &3A
BA    2   CR     1+2/5   TR  9   CH 11   ST &BA &0A &3B
BA    2   CR    1+5/12   TR  9   CH 11   ST &BA &0A &3C
BA    2   CR    1+9/20   TR  9   CH 11   ST &BA &0A &3D
BA    2   CR    1+7/15   TR  9   CH 11   ST &BA &0A &3E
BA    2   CR   1+29/60   TR  9   CH 11   ST &BA &0A &3F
BA    2   CR     1+1/2   TR  2   CH  2   NT  D--          5/24
BA    2   CR     1+1/2   TR  8   CH 10   NT  D--           1/8   von=67
BA    2   CR     1+1/2   TR  8   CH 10   NT  G---          1/8   von=119
BA    2   CR     1+1/2   TR  8   CH 10   NT  F#--          1/8
BA    2   CR     1+1/2   TR  9   CH 11   NT  F'            1/4
BA    2   CR   1+31/60   TR  9   CH 11   ST &BA &0A &40
BA    2   CR    1+8/15   TR  9   CH 11   ST &BA &0A &41
BA    2   CR  1+67/120   TR  9   CH 11   ST &BA &0A &42
BA    2   CR    1+7/12   TR  9   CH 11   ST &BA &0A &43
BA    2   CR  1+73/120   TR  9   CH 11   ST &BA &0A &44
BA    2   CR     1+5/8   TR  9   CH 11   ST &BA &0A &45
BA    2   CR  1+79/120   TR  9   CH 11   ST &BA &0A &46
BA    2   CR   1+27/40   TR  9   CH 11   ST &BA &0A &47
BA    2   CR   1+17/24   TR  9   CH 11   ST &BA &0A &48
BA    2   CR   1+29/40   TR  9   CH 11   ST &BA &0A &49
