format=1 tracks=9 division=96

BA   21   CR         1   TR  2   CH  2   NT  Eb-       2+47/96   voff=0
BA   21   CR   2+49/96   TR  3   CH  6   NT  F         1+47/96   von=80   voff=0
BA   21   CR   2+49/96   TR  3   CH  6   NT  C         1+47/96   voff=0
BA   21   CR     3+1/2   TR  8   CH  1   NT  B---        47/96   voff=0

BA   22   CR         0   TR  8   CH  1   NT  E---      1+47/96   voff=0
BA   22   CR      1/96   TR  3   CH  6   NT  E           25/48   voff=0
BA   22   CR      1/16   TR  3   CH  6   NT  Eb            3/8   voff=0
BA   22   CR       1/8   TR  3   CH  6   NT  A-        2+95/96   voff=0
BA   22   CR      7/48   TR  3   CH  6   NT  D         2+95/96   voff=0
BA   22   CR     1+1/2   TR  2   CH  2   NT  E-        1+47/96   voff=0
BA   22   CR     1+1/2   TR  2   CH  2   NT  A--       1+47/96   voff=0
BA   22   CR     1+1/2   TR  2   CH  2   NT  E--       1+47/96   voff=0
BA   22   CR         3   TR  2   CH  2   NT  F--       2+47/96   voff=0
BA   22   CR         3   TR  2   CH  2   NT  Bb--      2+47/96   voff=0
BA   22   CR         3   TR  2   CH  2   NT  Eb-       2+47/96   voff=0

BA   23   CR     49/96   TR  3   CH  6   NT  F         1+47/96   voff=0
BA   23   CR     49/96   TR  3   CH  6   NT  C         1+47/96   voff=0
