format=1 tracks=6 division=256

BA    9   CR         0   TR  3   CH  1   NT  A             1/2   voff=0
BA    9   CR         0   TR  5   CH  4   NT  B               4   voff=0
BA    9   CR         0   TR  5   CH  4   NT  D'              4   voff=0
BA    9   CR         0   TR  5   CH  4   NT  F#'             4   voff=0
BA    9   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    9   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    9   CR       1/2   TR  3   CH  1   NT  F#            1/2   voff=0
BA    9   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA    9   CR         1   TR  3   CH  1   NT  G             1/2   voff=0
BA    9   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    9   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    9   CR     1+1/2   TR  3   CH  1   NT  E'            1/2   voff=0
BA    9   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA    9   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA    9   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA    9   CR         2   TR  3   CH  1   NT  C#'         1+1/2   voff=0
BA    9   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    9   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA    9   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA    9   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA    9   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA    9   CR     3+1/2   TR  3   CH  1   NT  F#            1/2   voff=0
BA    9   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA   10   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA   10   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA   10   CR         0   TR  3   CH  1   NT  G             1/2   voff=0
BA   10   CR         0   TR  5   CH  4   NT  B               4   von=63   voff=0
BA   10   CR         0   TR  5   CH  4   NT  E'              4   von=95   voff=0
BA   10   CR         0   TR  5   CH  4   NT  F#'             4   von=63   voff=0
BA   10   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   10   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA   10   CR       1/2   TR  3   CH  1   NT  F#'           1/2   voff=0
BA   10   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA   10   CR         1   TR  3   CH  1   NT  E'              3   voff=0
BA   10   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   10   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA   10   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA   10   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA   10   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA   10   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   10   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA   10   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
BA   10   CR     3+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   10   CR     3+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA   10   CR     3+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0

BA   11   CR         0   TR  1   CH 10   NT  C--           1/2   voff=0
BA   11   CR         0   TR  2   CH  2   NT  G---          1/2   voff=0
BA   11   CR         0   TR  5   CH  4   NT  B               4   voff=0
BA   11   CR         0   TR  5   CH  4   NT  F#'             4   voff=0
BA   11   CR         0   TR  5   CH  4   NT  A'              4   von=95   voff=0
BA   11   CR       1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   11   CR       1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA   11   CR         1   TR  1   CH 10   NT  E--           1/2   voff=0
BA   11   CR     1+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   11   CR     1+1/2   TR  2   CH  2   NT  F---          1/4   voff=0
BA   11   CR     1+3/4   TR  2   CH  2   NT  F#---         1/4   voff=0
BA   11   CR         2   TR  1   CH 10   NT  C--           1/2   voff=0
BA   11   CR         2   TR  2   CH  2   NT  G---          1/2   voff=0
BA   11   CR     2+1/2   TR  1   CH 10   NT  G#--          1/2   voff=0
BA   11   CR     2+1/2   TR  2   CH  2   NT  G--           1/4   voff=0
BA   11   CR         3   TR  1   CH 10   NT  E--           1/2   voff=0
