format=1 tracks=5 division=480

BA    7   CR     1+1/2   TR  4   CH 10   NT  A--           1/4   voff=80
BA    7   CR     1+1/2   TR  4   CH 10   NT  G--           1/4   voff=80
BA    7   CR     1+1/2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR    1+8/15   TR  1   CH  2   ST &E1 &00 &48
BA    7   CR   1+17/30   TR  1   CH  2   ST &E1 &00 &49
BA    7   CR     1+3/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     1+3/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     1+3/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     1+4/5   TR  1   CH  2   ST &E1 &00 &4A
BA    7   CR   1+29/30   TR  1   CH  2   ST &E1 &00 &4B
BA    7   CR         2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR         2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR         2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     2+1/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     2+1/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     2+1/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     2+1/2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     2+1/2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     2+1/2   TR  4   CH 10   NT  B--           1/4   voff=80
BA    7   CR     2+1/2   TR  4   CH 10   NT  A--           1/4   voff=80
BA    7   CR     2+1/2   TR  4   CH 10   NT  G--           1/4   voff=80
BA    7   CR     2+1/2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     2+3/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     2+3/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     2+3/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR         3   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR         3   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR         3   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     3+1/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     3+1/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     3+1/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     3+1/2   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     3+1/2   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     3+1/2   TR  4   CH 10   NT  B--           1/4   voff=80
BA    7   CR     3+1/2   TR  4   CH 10   NT  A--           1/4   voff=80
BA    7   CR     3+1/2   TR  4   CH 10   NT  G--           1/4   voff=80
BA    7   CR     3+1/2   TR  4   CH 10   NT  C--           1/4   voff=80
BA    7   CR     3+3/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    7   CR     3+3/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    7   CR     3+3/4   TR  4   CH 10   NT  C--           1/4   voff=80

BA    8   CR         0   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR         0   TR  3   CH  3   NT  D-           3/16   voff=80
BA    8   CR         0   TR  3   CH  3   NT  G--          3/16   voff=80
BA    8   CR         0   TR  4   CH 10   NT  C--           1/4   voff=80
BA    8   CR      1/60   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    17/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR      5/96   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    17/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR      7/80   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    17/160   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    59/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    17/120   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    19/120   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR      7/40   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    31/160   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   101/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR     11/48   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR    59/240   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR       1/4   TR  3   CH  3   NT  D-           3/16   voff=80
BA    8   CR       1/4   TR  3   CH  3   NT  G--          3/16   voff=80
BA    8   CR       1/4   TR  4   CH 10   NT  C--           1/4   voff=80
BA    8   CR   127/480   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR      9/32   TR  1   CH  2   ST &E1 &00 &4B
BA    8   CR   143/480   TR  1   CH  2   ST &E1 &00 &4B
