format=1 tracks=15 division=96

BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &2D
BA    1   CR         0   TR 14   CH 16   Channel volume 90
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   Instrument 37
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &2D
BA    1   CR         0   TR 14   CH 16   Channel volume 90
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   Instrument 37
BA    1   CR         0   TR 14   CH 16   Channel volume 90
BA    1   CR         0   TR 14   CH 16   ST &BF &65 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &64 &00
BA    1   CR         0   TR 14   CH 16   ST &BF &06 &0C
BA    1   CR         0   TR 14   CH 16   ST &BF &0A &2D
BA    1   CR         0   TR 14   CH 16   Channel volume 90
BA    1   CR         0   TR 14   CH 16   ST &EF &00 &40
BA    1   CR         0   TR 14   CH 16   Instrument 37
BA    1   CR         0   TR 14   CH 16   Channel volume 90
BA    1   CR         0   TR 14   CH 16   NT  C--         47/96   von=127   voff=0
BA    1   CR       1/2   TR  1   CH  1   NT  C-          47/96
BA    1   CR       1/2   TR  2   CH  2   NT  C-          47/96
BA    1   CR       1/2   TR  7   CH  7   NT  C-          47/96
BA    1   CR       1/2   TR 10   CH 10   NT  B---        47/96
BA    1   CR       1/2   TR 10   CH 10   NT  F#--        47/96   von=80
BA    1   CR       1/2   TR 10   CH 10   NT  C--         47/96   von=100
BA    1   CR       1/2   TR 13   CH 15   NT  C-          47/96   voff=0
BA    1   CR       1/2   TR 13   CH 15   NT  C--         47/96   voff=0
