format=1 tracks=8 division=96

BA    6   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA    6   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
BA    6   CR         0   TR  3   CH  3   NT  D           23/96   voff=0
BA    6   CR         0   TR  7   CH 10   NT  B---        23/96   voff=0
BA    6   CR         0   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR       1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR       3/4   TR  1   CH  1   NT  G           23/96   voff=0
BA    6   CR       3/4   TR  2   CH  2   NT  G           23/96   voff=0
BA    6   CR       3/4   TR  3   CH  3   NT  G           23/96   voff=0
BA    6   CR         1   TR  7   CH 10   NT  E--         23/96   von=33   voff=0
BA    6   CR         1   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    6   CR         1   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR     1+1/2   TR  1   CH  1   NT  D           23/96   voff=0
BA    6   CR     1+1/2   TR  2   CH  2   NT  D           23/96   voff=0
BA    6   CR     1+1/2   TR  3   CH  3   NT  D           23/96   voff=0
BA    6   CR     1+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR     1+3/4   TR  7   CH 10   NT  B---        23/96   voff=0
BA    6   CR         2   TR  1   CH  1   NT  E           23/96   voff=0
BA    6   CR         2   TR  2   CH  2   NT  E           23/96   voff=0
BA    6   CR         2   TR  3   CH  3   NT  E           23/96   voff=0
BA    6   CR         2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    6   CR         2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR     2+1/2   TR  7   CH 10   NT  B---        23/96   voff=0
BA    6   CR     2+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR         3   TR  7   CH 10   NT  E--         23/96   von=34   voff=0
BA    6   CR         3   TR  7   CH 10   NT  Eb--        23/96   von=81   voff=0
BA    6   CR         3   TR  7   CH 10   NT  F#--        47/96   voff=0
BA    6   CR     3+1/2   TR  7   CH 10   NT  F#--        47/96   voff=0

BA    7   CR         0   TR  1   CH  1   NT  D           23/96   voff=0
BA    7   CR         0   TR  2   CH  2   NT  D           23/96   voff=0
