format=1 tracks=11 division=96

BA    2   CR       1/2   TR 10   CH 10   NT  Bb'           1/4
BA    2   CR         1   TR  2   CH  1   NT  A-            1/4
BA    2   CR     1+1/4   TR  2   CH  1   NT  F#            1/2
BA    2   CR     1+1/4   TR  5   CH  4   NT  F#            3/4
BA    2   CR     1+1/4   TR 10   CH 10   NT  Bb'           1/4
BA    2   CR     1+3/4   TR  2   CH  1   NT  D             1/4
BA    2   CR         2   TR  2   CH  1   NT  F#            1/2
BA    2   CR         2   TR  5   CH  4   NT  A             3/4
BA    2   CR         2   TR 10   CH 10   NT  Bb'           1/4
BA    2   CR     2+1/2   TR  2   CH  1   NT  A-            1/4
BA    2   CR     2+1/2   TR  3   CH  2   NT  A--           1/4
BA    2   CR     2+3/4   TR  2   CH  1   NT  D-          2+1/4
BA    2   CR     2+3/4   TR  3   CH  2   NT  D--         2+1/4
BA    2   CR     2+3/4   TR  5   CH  4   NT  G             1/2
BA    2   CR     2+3/4   TR 10   CH 10   NT  Bb'           1/4
BA    2   CR     3+1/4   TR  2   CH  1   NT  A-            1/4
BA    2   CR     3+1/4   TR  5   CH  4   NT  F#            1/4
BA    2   CR     3+1/2   TR  2   CH  1   NT  F#            1/2
BA    2   CR     3+1/2   TR  5   CH  4   NT  E             3/4
BA    2   CR     3+1/2   TR 10   CH 10   NT  Bb'           1/4

BA    3   CR         0   TR  2   CH  1   NT  D             1/4
BA    3   CR         0   TR 10   CH 10   NT  Bb'           1/4   von=62
BA    3   CR       1/4   TR  2   CH  1   NT  F#            1/2
BA    3   CR       1/4   TR  5   CH  4   NT  D             3/4
BA    3   CR       1/4   TR 10   CH 10   NT  Bb'           1/4   von=127
BA    3   CR       3/4   TR  2   CH  1   NT  A-            1/4
BA    3   CR         1   TR  2   CH  1   NT  E-          2+1/4
BA    3   CR         1   TR  3   CH  2   NT  E--         2+1/4
BA    3   CR         1   TR  5   CH  4   NT  B-            3/4
BA    3   CR         1   TR  7   CH  6   NT  G-          4+1/2
BA    3   CR         1   TR  7   CH  6   NT  E-          4+1/2
BA    3   CR         1   TR 10   CH 10   NT  Bb'           1/4
BA    3   CR     1+1/2   TR  2   CH  1   NT  B-            1/4
BA    3   CR     1+3/4   TR  2   CH  1   NT  G             1/2
BA    3   CR     1+3/4   TR  5   CH  4   NT  E           1+1/2
BA    3   CR     1+3/4   TR 10   CH 10   NT  Bb'           1/4
BA    3   CR     2+1/4   TR  2   CH  1   NT  B-            1/4
BA    3   CR     2+1/2   TR  2   CH  1   NT  G             1/2
BA    3   CR     2+1/2   TR 10   CH 10   NT  Bb'           1/4
BA    3   CR         3   TR  2   CH  1   NT  B-            1/4
BA    3   CR     3+1/4   TR  2   CH  1   NT  E-          2+1/4
BA    3   CR     3+1/4   TR  3   CH  2   NT  E--             2
BA    3   CR     3+1/4   TR  6   CH  5   NT  G             3/4   von=100
BA    3   CR     3+1/4   TR  6   CH  5   NT  E             3/4   von=64
BA    3   CR     3+1/4   TR 10   CH 10   NT  Bb'           1/4
BA    3   CR     3+3/4   TR  2   CH  1   NT  B-            1/4

BA    4   CR         0   TR  2   CH  1   NT  G             1/2
BA    4   CR         0   TR  6   CH  5   NT  A             3/4   von=100
BA    4   CR         0   TR  6   CH  5   NT  F#            3/4   von=64
BA    4   CR         0   TR 10   CH 10   NT  Bb'           1/4
BA    4   CR       1/2   TR  2   CH  1   NT  B-            1/4
BA    4   CR       1/2   TR 10   CH 10   NT  Bb'           1/4   von=62
BA    4   CR       3/4   TR  2   CH  1   NT  G             1/2
BA    4   CR       3/4   TR  5   CH  4   NT  B-            1/4
BA    4   CR       3/4   TR  6   CH  5   NT  G             3/4
BA    4   CR       3/4   TR  6   CH  5   NT  B             3/4   von=100
BA    4   CR       3/4   TR 10   CH 10   NT  Bb'           1/4   von=127
BA    4   CR         1   TR  5   CH  4   NT  C#            1/4
BA    4   CR     1+1/4   TR  2   CH  1   NT  B-            1/4
BA    4   CR     1+1/4   TR  3   CH  2   NT  E--           1/4
BA    4   CR     1+1/4   TR  5   CH  4   NT  B-            1/4
BA    4   CR     1+1/2   TR  2   CH  1   NT  A--             2
BA    4   CR     1+1/2   TR  3   CH  2   NT  A---        2+1/4
BA    4   CR     1+1/2   TR  5   CH  4   NT  A-            3/4
BA    4   CR     1+1/2   TR  6   CH  5   NT  E           2+1/4   von=64
BA    4   CR     1+1/2   TR  6   CH  5   NT  A           2+1/4   von=100
BA    4   CR     1+1/2   TR  7   CH  6   NT  E-          2+1/4
BA    4   CR     1+1/2   TR  7   CH  6   NT  A-          2+1/4
BA    4   CR     1+1/2   TR 10   CH 10   NT  Bb'           1/4
BA    4   CR         2   TR  2   CH  1   NT  E-          1+1/2
BA    4   CR     2+1/4   TR  2   CH  1   NT  C#          1+1/4
BA    4   CR     2+1/4   TR  5   CH  4   NT  E             3/4
BA    4   CR     2+1/4   TR 10   CH 10   NT  Bb'           1/4
BA    4   CR         3   TR  5   CH  4   NT  F#            3/4
BA    4   CR         3   TR 10   CH 10   NT  Bb'           1/4
BA    4   CR     3+1/2   TR  2   CH  1   NT  E-            1/4
BA    4   CR     3+3/4   TR  2   CH  1   NT  A--             2
BA    4   CR     3+3/4   TR  3   CH  2   NT  A---          3/4
BA    4   CR     3+3/4   TR  5   CH  4   NT  G             3/4
BA    4   CR     3+3/4   TR  7   CH  6   NT  E-          2+1/4
BA    4   CR     3+3/4   TR  7   CH  6   NT  G-          2+1/4
BA    4   CR     3+3/4   TR 10   CH 10   NT  Bb'           1/4

BA    5   CR       1/4   TR  2   CH  1   NT  E-          1+1/2
BA    5   CR       1/2   TR  2   CH  1   NT  C#          1+1/4
BA    5   CR       1/2   TR  3   CH  2   NT  B---          3/4
BA    5   CR       1/2   TR  5   CH  4   NT  A             3/4
BA    5   CR       1/2   TR 10   CH 10   NT  Bb'           1/4
BA    5   CR         1   TR 10   CH 10   NT  Bb'           1/4   von=62
BA    5   CR     1+1/4   TR  3   CH  2   NT  C#--          3/4
